PostalCode,FSA,Place Name,FSA1
A0A0A0,A0A,Gander,A
A0A1A0,A0A,Aquaforte,A
A0A1B0,A0A,Avondale,A
A0A1C0,A0A,Bay Bulls,A
A0A1E0,A0A,Bay De Verde,A
A0A1G0,A0A,Bay Roberts,A
A0A1H0,A0A,Bell Island Front,A
A0A1J0,A0A,Shea Heights,A
A0A1K0,A0A,Brigus,A
A0A1L0,A0A,Broad Cove Bdv,A
A0A1M0,A0A,Burnt Point Bdv,A
A0A1N0,A0A,Calvert,A
A0A1P0,A0A,Cape Broyle,A
A0A1R0,A0A,Caplin Cove Bdv,A
A0A1S0,A0A,Cappahayden,A
A0A1T0,A0A,Carbonear,A
A0A1V0,A0A,Chapel Cove,A
A0A1W0,A0A,Clarkes Beach,A
A0A1X0,A0A,Coleys Point South,A
A0A1Y0,A0A,Colliers Riverhead,A
A0A1Z0,A0A,Conception Harbour,A
A0A2A0,A0A,Country Road,A
A0A2B0,A0A,Cupids,A
A0A2C0,A0A,Cupids Crossing,A
A0A2E0,A0A,Paradise,A
A0A2G0,A0A,Fermeuse,A
A0A2H0,A0A,Ferryland,A
A0A2J0,A0A,Foxtrap,A
A0A2K0,A0A,Goulds,A
A0A2L0,A0A,Grates Cove,A
A0A2M0,A0A,Harbour Grace,A
A0A2N0,A0A,Harbour Grace Southside,A
A0A2P0,A0A,Harbour Main,A
A0A2R0,A0A,Holyrood,A
A0A2S0,A0A,Jobs Cove,A
A0A2T0,A0A,Kelligrews,A
A0A2V0,A0A,Lance Cove,A
A0A2W0,A0A,Lower Island Cove,A
A0A2X0,A0A,Makinsons,A
A0A2Y0,A0A,Manuels,A
A0A2Z0,A0A,Marysvale,A
A0A3A0,A0A,Tors Cove,A
A0A3B0,A0A,Northern Bay,A
A0A3C0,A0A,North Valley,A
A0A3E0,A0A,Ochre Pit Cove,A
A0A3G0,A0A,Old Perlican,A
A0A3H0,A0A,Petty Harbour,A
A0A3J0,A0A,Port De Grave,A
A0A3K0,A0A,Portugal Cove Cb,A
A0A3L0,A0A,Pouch Cove,A
A0A3M0,A0A,Red Head Cove,A
A0A3N0,A0A,Renews,A
A0A3P0,A0A,Riverhead Harbour Grace,A
A0A3R0,A0A,St Shotts,A
A0A3S0,A0A,Salmon Cove Bdv,A
A0A3T0,A0A,Seal Cove Cb,A
A0A3V0,A0A,Shearstown,A
A0A3W0,A0A,South River,A
A0A3X0,A0A,Spaniards Bay,A
A0A3Y0,A0A,Topsail,A
A0A3Z0,A0A,Torbay,A
A0A4B0,A0A,Trepassey,A
A0A4C0,A0A,Upper Gullies,A
A0A4E0,A0A,Upper Island Cove,A
A0A4G0,A0A,Victoria Cb,A
A0A4H0,A0A,Bell Island,A
A0A4J0,A0A,Western Bay,A
A0A4K0,A0A,Witless Bay,A
A0A4L0,A0A,Woodfords,A
A0B1A0,A0B,Arnolds Cove,A
A0B1A1,A0B,Long Harbour,A
A0B1B0,A0B,Bellevue,A
A0B1C0,A0B,Blaketown,A
A0B1E0,A0B,Branch,A
A0B1G0,A0B,Brigus Junction,A
A0B1H0,A0B,Brownsdale,A
A0B1J0,A0B,Cavendish,A
A0B1K0,A0B,Chance Cove,A
A0B1L0,A0B,Chapel Arm,A
A0B1M0,A0B,Colinet,A
A0B1N0,A0B,Come By Chance,A
A0B1P0,A0B,Dildo,A
A0B1R0,A0B,Dildo South,A
A0B1S0,A0B,Dunville,A
A0B1T0,A0B,Fair Haven,A
A0B1V0,A0B,Fox Harbour Pb,A
A0B1W0,A0B,Freshwater Pb,A
A0B1X0,A0B,Greens Harbour,A
A0B1Y0,A0B,Hants Harbour,A
A0B1Z0,A0B,Hearts Content,A
A0B2A0,A0B,Hearts Delight,A
A0B2B0,A0B,Hearts Desire,A
A0B2C0,A0B,Hopeall,A
A0B2E0,A0B,Islington,A
A0B2G0,A0B,Jerseyside,A
A0B2H0,A0B,Little Harbour East Pb,A
A0B2K0,A0B,Monkstown,A
A0B2L0,A0B,Mount Arlington Heights,A
A0B2M0,A0B,Mount Carmel,A
A0B2N0,A0B,New Chelsea,A
A0B2P0,A0B,New Harbour Tb,A
A0B2R0,A0B,New Melbourne,A
A0B2S0,A0B,New Perlican,A
A0B2T0,A0B,Normans Cove,A
A0B2V0,A0B,North Harbour Smb,A
A0B2W0,A0B,Old Shop,A
A0B2X0,A0B,Petit Forte,A
A0B2Y0,A0B,Placentia,A
A0B2Z0,A0B,St Brides,A
A0B3B0,A0B,St Marys,A
A0B3C0,A0B,St Vincents,A
A0B3E0,A0B,Ship Harbour Pb,A
A0B3G0,A0B,South East Bight,A
