inventory number,description,"serial, number",date acquired,vendor,cost,value
11,"Soup - Beef, Base Mix",RM5FSY1EPT8X5ZYR,8/9/2018,"Toy, Rice and Willms",$7.38,$10.48
80,Puff Pastry - Slab,4692028OA4IVN03C,8/8/2018,Keeling and Sons,$1.54,$15.07
24,Wine - Barossa Valley Estate,0R304R4OWW0RSUL8,8/9/2018,Anderson Group,$0.30,$16.79
48,White Fish - Filets,4454GE0YL43K13A8,8/8/2018,"Fahey, Graham and Tillman",$6.12,$12.07
50,Wine - Chianti Classica Docg,VU9328F6KG3E8D3D,8/8/2018,"Aufderhar, Jenkins and Schuppe",$0.80,$11.44
16,Appetizer - Tarragon Chicken,3XQ48Q414QTO5IJ8,8/7/2018,Farrell-Walter,$1.10,$11.30
39,"Pepper - Red, Finger Hot",1T0UK15C4955L94B,8/7/2018,"Labadie, McLaughlin and Feeney",$1.50,$11.53
39,Plate Pie Foil,Z0A5EI699E1W763J,8/8/2018,"White, Bahringer and Connelly",$9.01,$15.90
99,Syrup - Monin - Blue Curacao,C2N0405496272CC2,8/7/2018,Runolfsson-Hayes,$0.06,$17.40
68,Oven Mitts 17 Inch,WAW471952LW97Y63,8/9/2018,"Walker, Hoeger and Bartell",$6.74,$21.31
3,Sesame Seed,H6156130FVUTBE65,8/8/2018,Schuster and Sons,$6.33,$18.23
66,"Soup - Clam Chowder, Dry Mix",FNP4H2635O520W3T,8/8/2018,"Hamill, Labadie and Macejkovic",$5.81,$14.68
53,Wine - Remy Pannier Rose,ORUYIXEN8933148D,8/9/2018,"Bergnaum, Cronin and Blick",$0.78,$10.05
72,Appetizer - Smoked Salmon / Dill,3K6BD0M7V59O9HG1,8/9/2018,"Luettgen, Schoen and Bahringer",$6.66,$16.75
42,Extract Vanilla Pure,V1INU306KRBU3HZF,8/9/2018,Sporer Inc,$5.60,$15.06
1,"Beef - Tenderlion, Center Cut",066017YL6J1651JM,8/7/2018,"Hickle, Dicki and Smitham",$1.71,$13.97
